UF;MUNICIPIO;POPULACAO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
RS;DOM FELICIANO;15038;6467;3532;0;246;9;464;123;0;0;14;1891;53;78;0;31;9;1;0;0;2;1;13
RS;DOM PEDRITO;39957;19586;9492;1;600;120;2113;526;1;215;36;4551;1201;45;0;383;182;4;4;0;6;6;100
RS;DOM PEDRO DE ALCANTARA;2623;1328;636;0;96;1;76;30;0;0;3;412;39;6;0;24;3;0;0;0;0;0;2
RS;DONA FRANCISCA;3421;1510;842;0;51;3;141;20;0;0;1;407;14;10;0;18;2;0;1;0;0;0;0
RS;DOUTOR MAURICIO CARDOSO;5301;2893;1641;0;201;15;235;54;0;0;11;603;51;16;0;36;22;0;1;0;0;0;7
RS;DOUTOR RICARDO;2082;1160;724;0;63;10;91;16;0;0;8;177;27;6;0;7;21;0;0;0;7;0;3
RS;ELDORADO DO SUL;36911;13958;8526;0;539;179;740;499;0;10;35;2535;157;55;0;402;190;0;3;0;30;3;55
RS;ENCANTADO;21609;15218;8575;0;747;148;1151;360;0;12;56;2519;958;126;0;261;181;0;23;0;37;1;63
RS;ENCRUZILHADA DO SUL;25563;10239;5655;0;379;62;818;213;2;6;24;2354;187;176;0;229;97;1;8;0;10;1;17
RS;ENGENHO VELHO;1462;609;382;0;35;1;56;14;0;0;1;93;7;14;0;2;2;0;1;0;0;0;1
